UserName,ArchiveTotal,SentTotal,OpenTotal,ClickTotal,BounceTotal,UnsubTotal,ComplaintTotal,ArchiveEmailTotal
QL055,20,2,0,0,0,0,0,5
QL048,69,1,0,0,0,0,0,53
SL012,139,97,4,1,2,0,0,139
SL036,139,,,,,,,1
SL023,90,78,3,0,10,0,0,90
QL028,104,93,1,0,1,0,0,104
QL052,60,,,,,,,60
QL040,48,39,1,0,2,0,0,48
QL030,99,98,3,1,13,0,0,99
SL033,50,,,,,,,0
QL032,54,,,,,,,54
SL026,26,24,5,1,1,2,0,26
SL040,44,28,4,1,4,0,0,44
QL003,43,36,1,0,5,0,0,43
QL038,63,30,0,0,4,0,0,63
QL035,33,3,0,0,0,0,0,33
QL046,50,50,3,1,9,0,0,50
SL005,193,4,0,0,0,0,0,193
SL027,124,,,,,,,0
QL029,133,57,0,0,3,0,0,58
QL025,68,64,3,2,3,1,0,68
SL038,109,109,5,0,9,0,0,109
SL002,159,98,5,2,4,0,0,159
QL024,108,,,,,,,78
SL018,56,5,2,0,0,0,0,8
SL014,32,3,0,0,0,0,0,6
QL043,17,,,,,,,0
SL008,298,,,,,,,0
SL032,55,,,,,,,0
SL004,122,79,8,1,1,1,0,122
QL018,99,28,1,0,1,0,0,99
SL041,512,,,,,,,0
SL016,146,23,2,1,4,0,0,146
QL001,683,48,3,0,2,0,0,277
QL056,52,42,0,0,1,0,0,52
SL020,26,3,1,0,0,0,0,5
SL013,65,,,,,,,0
SL042,29,,,,,,,0
QL050,43,34,1,0,1,0,0,43
SL019,86,59,3,1,2,1,0,82
SL043,168,39,2,0,1,0,0,48
QL044,70,41,0,0,3,0,0,70
QL049,73,55,1,0,1,0,0,73
SL009,13,7,1,0,0,0,0,13
SL006,7,,,,,,,0
SL021,158,,,,,,,0
SL025,72,2,0,0,0,0,0,11
QL036,110,5,1,1,0,2,0,110
QL013,42,36,1,0,1,0,0,42
SL024,29,9,0,0,2,0,0,29
QL033,54,53,3,0,0,0,0,54
QL004,185,177,6,1,9,0,0,185
QL005,161,150,4,1,16,1,0,161
